ts,exp,arm,trunk,overrides,folds,val_qlike,val_cov80,val_dm_t,val_dm_p,test_qlike,test_dm_t,test_dm_p,seeds,git,note,decision
2026-07-04T19:50:04,E2-pre,hybrid,lstm,,4,-9.298522,,-2.2030,0.0276,,,,3,1ba430b+dirty,"provisional: 522-row 2024-2026 panel, pre-full-data dress rehearsal",
2026-07-04T19:50:04,E2-pre,har_rv,,,4,-9.270255,,,,,,,3,1ba430b+dirty,"provisional: 522-row 2024-2026 panel, pre-full-data dress rehearsal",
2026-07-04T19:50:05,E1-pre,hybrid,itransformer,lambda_qlike=0.0,4,-9.286897,,-1.0349,0.3007,,,,3,1ba430b+dirty,"provisional: 522-row 2024-2026 panel, pre-full-data dress rehearsal",
2026-07-04T19:50:05,E1-pre,har_rv,,lambda_qlike=0.0,4,-9.270255,,,,,,,3,1ba430b+dirty,"provisional: 522-row 2024-2026 panel, pre-full-data dress rehearsal",
2026-07-04T19:50:12,E0-pre,hybrid,itransformer,,4,-9.281707,,-0.6959,0.4865,,,,3,1ba430b+dirty,"provisional: 522-row 2024-2026 panel, pre-full-data dress rehearsal",
2026-07-04T19:50:12,E0-pre,har_rv,,,4,-9.270255,,,,,,,3,1ba430b+dirty,"provisional: 522-row 2024-2026 panel, pre-full-data dress rehearsal",
2026-07-04T19:50:12,E0-pre,naive_iv,,,4,-9.150646,,2.9900,0.0028,,,,3,1ba430b+dirty,"provisional: 522-row 2024-2026 panel, pre-full-data dress rehearsal",
2026-07-04T19:50:12,E0-pre,garch,,,4,-8.982355,,4.4283,0.0000,,,,3,1ba430b+dirty,"provisional: 522-row 2024-2026 panel, pre-full-data dress rehearsal",
2026-07-04T19:50:12,E0-pre,persistence,,,4,-8.695684,,4.7098,0.0000,,,,3,1ba430b+dirty,"provisional: 522-row 2024-2026 panel, pre-full-data dress rehearsal",
2026-07-04T19:50:49,E2-pre,hybrid,tcn,,4,-9.276679,,-0.4048,0.6856,,,,3,1ba430b+dirty,"provisional: 522-row 2024-2026 panel, pre-full-data dress rehearsal",
2026-07-04T19:50:49,E2-pre,har_rv,,,4,-9.270255,,,,,,,3,1ba430b+dirty,"provisional: 522-row 2024-2026 panel, pre-full-data dress rehearsal",
2026-07-04T19:50:51,E1-pre,hybrid,itransformer,lambda_qlike=0.3,4,-9.282039,,-0.7702,0.4412,,,,3,1ba430b+dirty,"provisional: 522-row 2024-2026 panel, pre-full-data dress rehearsal",
2026-07-04T19:50:51,E1-pre,har_rv,,lambda_qlike=0.3,4,-9.270255,,,,,,,3,1ba430b+dirty,"provisional: 522-row 2024-2026 panel, pre-full-data dress rehearsal",
2026-07-04T19:51:02,E2-pre,har_rv,,,4,-9.270255,,,,,,,3,1ba430b+dirty,"provisional: 522-row 2024-2026 panel, pre-full-data dress rehearsal",
2026-07-04T19:51:02,E2-pre,hybrid,linear,,4,-9.260824,,0.4031,0.6869,,,,3,1ba430b+dirty,"provisional: 522-row 2024-2026 panel, pre-full-data dress rehearsal",
2026-07-04T19:51:20,E1-pre,hybrid,itransformer,lambda_qlike=1.0,4,-9.273819,,-0.1522,0.8791,,,,3,1ba430b+dirty,"provisional: 522-row 2024-2026 panel, pre-full-data dress rehearsal",
2026-07-04T19:51:20,E1-pre,har_rv,,lambda_qlike=1.0,4,-9.270255,,,,,,,3,1ba430b+dirty,"provisional: 522-row 2024-2026 panel, pre-full-data dress rehearsal",
2026-07-04T20:57:19,E2-pre,har_rv,,,4,-9.270255,,,,,,,3,1ba430b+dirty,"provisional: 522-row panel, dress rehearsal (completing E2 roster)",
2026-07-04T20:57:19,E2-pre,statehar,,,4,-9.248190,,0.5902,0.5551,,,,3,1ba430b+dirty,"provisional: 522-row panel, dress rehearsal (completing E2 roster)",
2026-07-04T20:57:19,E2-pre,gbt,,,4,-9.226180,,1.0549,0.2914,,,,3,1ba430b+dirty,"provisional: 522-row panel, dress rehearsal (completing E2 roster)",
